
155.254.225.2	Afghanistan, Kabul
194.112.11.130	Aland Islands, Mariehamn
104.167.254.2	Albania, Tirana
45.59.177.2	Algeria, Annaba
104.224.33.2	Anguilla, The Valley
104.224.1.2	Antigua and Barbuda, Saint John's
200.55.243.196	Argentina, Buenos Aires
45.59.129.3	Armenia, Tsaghkadzor
104.224.32.2	Aruba, Palm Beach
203.31.216.1	Australia, New South Wales, Sydney (LOC1 S1)
203.31.216.128	Australia, New South Wales, Sydney (LOC1 S2)
203.56.188.1	Australia, New South Wales, Sydney (LOC1 S3)
203.56.188.129	Australia, New South Wales, Sydney (LOC1 S4)
202.60.90.78	Australia, Queensland, Brisbane (LOC1 S1)
202.60.90.9	Australia, Queensland, Brisbane (LOC1 S2)
103.12.9.1	Australia, Victoria, Melbourne (LOC1 S1)
103.12.9.2	Australia, Victoria, Melbourne (LOC1 S2)
168.1.83.116	Australia, Victoria, Melbourne (LOC2 S1)
5.62.20.1	Australia, Sydney - Virtual UK
62.73.3.153	France, Paris - Virtual UK (LOC1 S1)
62.73.3.154	France, Paris - Virtual UK (LOC1 S2)
5.62.16.2	Germany, Frankfurt - Virtual UK (LOC1 S1)
5.62.17.2	Germany, Frankfurt - Virtual UK (LOC1 S2)
95.154.230.4	UK, Berkshire, Maidenhead (LOC1 S1)
78.129.150.2	UK, Berkshire, Maidenhead (LOC1 S10)
78.129.150.130	UK, Berkshire, Maidenhead (LOC1 S11)
78.129.168.130	UK, Berkshire, Maidenhead (LOC1 S12)
78.129.168.2	UK, Berkshire, Maidenhead (LOC1 S13)
109.169.4.130	UK, Berkshire, Maidenhead (LOC1 S14)
82.145.62.130	UK, Berkshire, Maidenhead (LOC1 S15)
78.129.160.2	UK, Berkshire, Maidenhead (LOC1 S16)
78.129.160.130	UK, Berkshire, Maidenhead (LOC1 S17)
78.129.171.2	UK, Berkshire, Maidenhead (LOC1 S18)
212.38.170.66	UK, Berkshire, Maidenhead (LOC1 S19)
95.154.230.133	UK, Berkshire, Maidenhead (LOC1 S2)
5.62.28.4	UK, Berkshire, Maidenhead (LOC1 S20)
5.62.29.4	UK, Berkshire, Maidenhead (LOC1 S21)
5.62.29.132	UK, Berkshire, Maidenhead (LOC1 S22)
5.62.30.2	UK, Berkshire, Maidenhead (LOC1 S23)
5.62.30.3	UK, Berkshire, Maidenhead (LOC1 S24)
95.154.230.2	UK, Berkshire, Maidenhead (LOC1 S3)
78.129.173.130	UK, Berkshire, Maidenhead (LOC1 S4)
109.169.1.130	UK, Berkshire, Maidenhead (LOC1 S5)
213.229.83.26	UK, Berkshire, Maidenhead (LOC1 S6)
213.229.110.32	UK, Berkshire, Maidenhead (LOC1 S7)
87.117.238.66	UK, Berkshire, Maidenhead (LOC1 S8)
87.117.232.130	UK, Berkshire, Maidenhead (LOC1 S9)
217.194.222.2	UK, Denbighshire, St. Asaph (LOC1 S1)
130.185.144.6	UK, Denbighshire, St. Asaph (LOC1 S3)
130.185.144.7	UK, Denbighshire, St. Asaph (LOC1 S4)
109.73.65.2	UK, Hampshire, Gosport (LOC1 S1)
109.73.65.130	UK, Hampshire, Gosport (LOC1 S2)
109.73.66.2	UK, Hampshire, Gosport (LOC1 S3)
109.73.66.130	UK, Hampshire, Gosport (LOC1 S4)
5.152.217.234	UK, Hampshire, Gosport (LOC1 S5)
37.220.29.66	UK, Hampshire, Gosport (LOC1 S6)
37.220.24.82	UK, Hampshire, Gosport (LOC1 S7)
5.152.219.66	UK, Hampshire, Gosport (LOC1 S8)
5.152.217.154	UK, Hampshire, Gosport (LOC1 S9)
91.238.214.4	UK, Kent, Maidstone (LOC1 S1)
91.228.0.4	UK, Kent, Maidstone (LOC1 S10)
91.228.0.129	UK, Kent, Maidstone (LOC1 S11)
91.228.1.1	UK, Kent, Maidstone (LOC1 S12)
91.228.1.129	UK, Kent, Maidstone (LOC1 S13)
91.228.2.1	UK, Kent, Maidstone (LOC1 S14)
91.238.214.132	UK, Kent, Maidstone (LOC1 S2)
91.238.215.4	UK, Kent, Maidstone (LOC1 S3)
